2023-10-31 15:00:17,601	[INFO]	Path to the temporal program variants: ./.pyggi/tmp_variants/lis/1698764417
2023-10-31 15:00:17,601	[INFO]	./.pyggi/logs/lis_1698764417.log
2023-10-31 15:00:17,843	[INFO]	The fitness value of original program: 4.0
2023-10-31 15:00:17,843	[INFO]	Epoch	Iter	Status	Fitness	Patch
2023-10-31 15:00:18,089	[INFO]	1	1	SUCCESS	4	LineInsertion({'target': ('lis.py', 1), 'ingredient': ('lis.py', 9), 'direction': 'before'})
2023-10-31 15:00:18,333	[INFO]	1	2	SUCCESS	4	LineInsertion({'target': ('lis.py', 0), 'ingredient': ('lis.py', 3), 'direction': 'before'})
2023-10-31 15:00:18,589	[INFO]	1	3	SUCCESS	11	LineReplacement({'target': ('lis.py', 12), 'ingredient': ('lis.py', 9)})
2023-10-31 15:00:18,896	[INFO]	1	4	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 1), 'ingredient': ('lis.py', 10)})
2023-10-31 15:00:19,194	[INFO]	1	5	PARSE_ERROR	None	LineInsertion({'target': ('lis.py', 6), 'ingredient': ('lis.py', 11), 'direction': 'after'})
2023-10-31 15:00:19,461	[INFO]	1	6	SUCCESS	4	LineDeletion({'target': ('lis.py', 7)})
2023-10-31 15:00:19,707	[INFO]	1	7	SUCCESS	4	LineDeletion({'target': ('lis.py', 3)})
2023-10-31 15:00:20,015	[INFO]	1	8	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 10), 'ingredient': ('lis.py', 2)})
2023-10-31 15:00:20,270	[INFO]	1	9	SUCCESS	11	LineReplacement({'target': ('lis.py', 5), 'ingredient': ('lis.py', 8)})
2023-10-31 15:00:20,524	[INFO]	1	10	SUCCESS	4	LineInsertion({'target': ('lis.py', 10), 'ingredient': ('lis.py', 5), 'direction': 'after'})
2023-10-31 15:00:20,767	[INFO]	1	11	SUCCESS	4	LineInsertion({'target': ('lis.py', 13), 'ingredient': ('lis.py', 1), 'direction': 'after'})
2023-10-31 15:00:21,010	[INFO]	1	12	SUCCESS	4	LineInsertion({'target': ('lis.py', 12), 'ingredient': ('lis.py', 5), 'direction': 'after'})
2023-10-31 15:00:21,250	[INFO]	1	13	SUCCESS	4	LineInsertion({'target': ('lis.py', 9), 'ingredient': ('lis.py', 7), 'direction': 'after'})
2023-10-31 15:00:21,494	[INFO]	1	14	SUCCESS	4	LineInsertion({'target': ('lis.py', 8), 'ingredient': ('lis.py', 6), 'direction': 'after'})
2023-10-31 15:00:21,772	[INFO]	1	15	SUCCESS	4	LineReplacement({'target': ('lis.py', 7), 'ingredient': ('lis.py', 6)})
2023-10-31 15:00:22,281	[INFO]	1	16	SUCCESS	11	LineReplacement({'target': ('lis.py', 8), 'ingredient': ('lis.py', 13)})
2023-10-31 15:00:22,919	[INFO]	1	17	PARSE_ERROR	None	LineDeletion({'target': ('lis.py', 0)})
2023-10-31 15:00:23,376	[INFO]	1	18	SUCCESS	4	LineInsertion({'target': ('lis.py', 12), 'ingredient': ('lis.py', 13), 'direction': 'after'})
2023-10-31 15:00:23,829	[INFO]	1	19	SUCCESS	11	LineReplacement({'target': ('lis.py', 13), 'ingredient': ('lis.py', 2)})
2023-10-31 15:00:24,339	[INFO]	1	20	PARSE_ERROR	None	LineInsertion({'target': ('lis.py', 6), 'ingredient': ('lis.py', 12), 'direction': 'after'})
2023-10-31 15:00:24,700	[INFO]	1	21	SUCCESS	8	LineReplacement({'target': ('lis.py', 9), 'ingredient': ('lis.py', 4)})
2023-10-31 15:00:25,407	[INFO]	1	22	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 12), 'ingredient': ('lis.py', 10)})
2023-10-31 15:00:25,877	[INFO]	1	23	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 6), 'ingredient': ('lis.py', 14)})
2023-10-31 15:00:26,206	[INFO]	1	24	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 5), 'ingredient': ('lis.py', 14)})
2023-10-31 15:00:26,542	[INFO]	1	25	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 7), 'ingredient': ('lis.py', 10)})
2023-10-31 15:00:26,843	[INFO]	1	26	SUCCESS	11	LineDeletion({'target': ('lis.py', 6)})
2023-10-31 15:00:27,130	[INFO]	1	27	SUCCESS	11	LineReplacement({'target': ('lis.py', 1), 'ingredient': ('lis.py', 3)})
2023-10-31 15:00:27,479	[INFO]	1	28	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 2), 'ingredient': ('lis.py', 8)})
2023-10-31 15:00:27,838	[INFO]	1	29	SUCCESS	11	LineDeletion({'target': ('lis.py', 1)})
2023-10-31 15:00:28,185	[INFO]	1	30	SUCCESS	12	LineDeletion({'target': ('lis.py', 2)})
2023-10-31 15:00:28,539	[INFO]	1	31	SUCCESS	4	LineReplacement({'target': ('lis.py', 9), 'ingredient': ('lis.py', 8)})
2023-10-31 15:00:28,871	[INFO]	1	32	SUCCESS	4	LineInsertion({'target': ('lis.py', 4), 'ingredient': ('lis.py', 9), 'direction': 'before'})
2023-10-31 15:00:29,202	[INFO]	1	33	SUCCESS	4	LineInsertion({'target': ('lis.py', 13), 'ingredient': ('lis.py', 5), 'direction': 'before'})
2023-10-31 15:00:29,573	[INFO]	1	34	SUCCESS	4	LineDeletion({'target': ('lis.py', 13)})
2023-10-31 15:00:30,035	[INFO]	1	35	SUCCESS	8	LineInsertion({'target': ('lis.py', 9), 'ingredient': ('lis.py', 4), 'direction': 'before'})
2023-10-31 15:00:30,441	[INFO]	1	36	SUCCESS	11	LineReplacement({'target': ('lis.py', 8), 'ingredient': ('lis.py', 7)})
2023-10-31 15:00:30,913	[INFO]	1	37	SUCCESS	11	LineReplacement({'target': ('lis.py', 12), 'ingredient': ('lis.py', 1)})
2023-10-31 15:00:31,317	[INFO]	1	38	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 2), 'ingredient': ('lis.py', 10)})
2023-10-31 15:00:31,783	[INFO]	1	39	PARSE_ERROR	None	LineInsertion({'target': ('lis.py', 0), 'ingredient': ('lis.py', 6), 'direction': 'before'})
2023-10-31 15:00:32,178	[INFO]	1	40	SUCCESS	4	LineInsertion({'target': ('lis.py', 11), 'ingredient': ('lis.py', 7), 'direction': 'before'})
2023-10-31 15:00:32,534	[INFO]	1	41	SUCCESS	4	LineInsertion({'target': ('lis.py', 0), 'ingredient': ('lis.py', 7), 'direction': 'before'})
2023-10-31 15:00:32,903	[INFO]	1	42	SUCCESS	4	LineReplacement({'target': ('lis.py', 10), 'ingredient': ('lis.py', 10)})
2023-10-31 15:00:33,243	[INFO]	1	43	PARSE_ERROR	None	LineReplacement({'target': ('lis.py', 11), 'ingredient': ('lis.py', 6)})
2023-10-31 15:00:33,527	[INFO]	1	44	SUCCESS	10	LineDeletion({'target': ('lis.py', 11)})
2023-10-31 15:00:33,912	[INFO]	1	45	PARSE_ERROR	None	LineInsertion({'target': ('lis.py', 3), 'ingredient': ('lis.py', 10), 'direction': 'before'})
