2023-10-31 15:30:05,808	[INFO]	Path to the temporal program variants: ./.pyggi/tmp_variants/lis/1698766205
2023-10-31 15:30:05,808	[INFO]	./.pyggi/logs/lis_1698766205.log
2023-10-31 15:30:06,117	[INFO]	The fitness value of original program: 4.0
2023-10-31 15:30:06,117	[INFO]	Epoch	Iter	Status	Fitness	Patch
2023-10-31 15:30:06,418	[INFO]	1	1	SUCCESS	11	StmtReplacement({'target': ('lis.py', 4), 'ingredient': ('lis.py', 1)})
2023-10-31 15:30:06,725	[INFO]	1	2	SUCCESS	11	StmtDeletion({'target': ('lis.py', 6)})
2023-10-31 15:30:06,991	[INFO]	1	3	SUCCESS	8	StmtInsertion({'target': ('lis.py', 5), 'ingredient': ('lis.py', 2), 'direction': 'before'})
2023-10-31 15:30:07,267	[INFO]	1	4	SUCCESS	11	StmtDeletion({'target': ('lis.py', 1)})
2023-10-31 15:30:07,561	[INFO]	1	5	SUCCESS	11	StmtReplacement({'target': ('lis.py', 6), 'ingredient': ('lis.py', 0)})
2023-10-31 15:30:07,840	[INFO]	1	6	SUCCESS	11	StmtInsertion({'target': ('lis.py', 4), 'ingredient': ('lis.py', 8), 'direction': 'before'})
2023-10-31 15:30:08,121	[INFO]	1	7	SUCCESS	11	StmtReplacement({'target': ('lis.py', 5), 'ingredient': ('lis.py', 4)})
2023-10-31 15:30:08,478	[INFO]	1	8	SUCCESS	8	StmtReplacement({'target': ('lis.py', 4), 'ingredient': ('lis.py', 3)})
2023-10-31 15:30:08,855	[INFO]	1	9	PARSE_ERROR	None	StmtReplacement({'target': ('lis.py', 0), 'ingredient': ('lis.py', 6)})
2023-10-31 15:30:09,115	[INFO]	1	10	SUCCESS	4	StmtInsertion({'target': ('lis.py', 6), 'ingredient': ('lis.py', 4), 'direction': 'before'})
2023-10-31 15:30:09,449	[INFO]	1	11	SUCCESS	12	StmtInsertion({'target': ('lis.py', 2), 'ingredient': ('lis.py', 9), 'direction': 'before'})
2023-10-31 15:30:09,766	[INFO]	1	12	SUCCESS	11	StmtDeletion({'target': ('lis.py', 5)})
