2023-11-01 15:31:18,493	[INFO]	Path to the temporal program variants: ./.pyggi/tmp_variants/sieve/1698852678
2023-11-01 15:31:18,494	[INFO]	./.pyggi/logs/sieve_1698852678.log
2023-11-01 15:31:18,685	[INFO]	The fitness value of original program: 5.0
2023-11-01 15:31:18,685	[INFO]	Epoch	Iter	Status	Fitness	Patch
2023-11-01 15:31:18,906	[INFO]	1	1	PROGRAM_ERROR	None	LineDeletion({'target': ('sieve.py', 0)})
2023-11-01 15:31:19,075	[INFO]	1	2	SUCCESS	5	LineDeletion({'target': ('sieve.py', 9)})
2023-11-01 15:31:19,253	[INFO]	1	3	SUCCESS	5	LineDeletion({'target': ('sieve.py', 13)})
2023-11-01 15:31:19,432	[INFO]	1	4	SUCCESS	5	LineDeletion({'target': ('sieve.py', 15)})
2023-11-01 15:31:19,648	[INFO]	1	5	PROGRAM_ERROR	None	LineReplacement({'target': ('sieve.py', 2), 'ingredient': ('sieve.py', 5)})
2023-11-01 15:31:19,815	[INFO]	1	6	SUCCESS	5	LineInsertion({'target': ('sieve.py', 11), 'ingredient': ('sieve.py', 13), 'direction': 'after'})
2023-11-01 15:31:20,035	[INFO]	1	7	PROGRAM_ERROR	None	LineReplacement({'target': ('sieve.py', 14), 'ingredient': ('sieve.py', 16)})
2023-11-01 15:31:20,205	[INFO]	1	8	SUCCESS	5	LineInsertion({'target': ('sieve.py', 12), 'ingredient': ('sieve.py', 12), 'direction': 'after'})
2023-11-01 15:31:20,419	[INFO]	1	9	PROGRAM_ERROR	None	LineInsertion({'target': ('sieve.py', 1), 'ingredient': ('sieve.py', 14), 'direction': 'after'})
2023-11-01 15:31:20,589	[INFO]	1	10	SUCCESS	5	LineInsertion({'target': ('sieve.py', 8), 'ingredient': ('sieve.py', 13), 'direction': 'before'})
2023-11-01 15:31:20,809	[INFO]	1	11	PROGRAM_ERROR	None	LineInsertion({'target': ('sieve.py', 11), 'ingredient': ('sieve.py', 7), 'direction': 'before'})
2023-11-01 15:31:21,024	[INFO]	1	12	PROGRAM_ERROR	None	LineInsertion({'target': ('sieve.py', 7), 'ingredient': ('sieve.py', 3), 'direction': 'before'})
2023-11-01 15:31:21,237	[INFO]	1	13	PROGRAM_ERROR	None	LineInsertion({'target': ('sieve.py', 6), 'ingredient': ('sieve.py', 11), 'direction': 'before'})
2023-11-01 15:31:21,400	[INFO]	1	14	SUCCESS	5	LineInsertion({'target': ('sieve.py', 9), 'ingredient': ('sieve.py', 14), 'direction': 'before'})
