2023-10-29 17:21:22,791	[INFO]	Path to the temporal program variants: ./.pyggi/tmp_variants\wrap\1698600082
2023-10-29 17:21:22,792	[INFO]	./.pyggi/logs\wrap_1698600082.log
2023-10-29 17:21:23,973	[INFO]	The fitness value of original program: 5.0
2023-10-29 17:21:23,974	[INFO]	Epoch	Iter	Status	Fitness	Patch
2023-10-29 17:21:24,696	[INFO]	1	1	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 5), 'ingredient': ('./wrap.py', 2)})
2023-10-29 17:21:25,361	[INFO]	1	2	PARSE_ERROR	None	LineInsertion({'target': ('./wrap.py', 7), 'ingredient': ('./wrap.py', 9), 'direction': 'before'})
2023-10-29 17:21:25,940	[INFO]	1	3	SUCCESS	5	LineInsertion({'target': ('./wrap.py', 25), 'ingredient': ('./wrap.py', 15), 'direction': 'before'})
2023-10-29 17:21:26,570	[INFO]	1	4	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 11), 'ingredient': ('./wrap.py', 1)})
2023-10-29 17:21:27,121	[INFO]	1	5	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 15), 'ingredient': ('./wrap.py', 14)})
2023-10-29 17:21:27,677	[INFO]	1	6	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 15), 'ingredient': ('./wrap.py', 24)})
2023-10-29 17:21:28,234	[INFO]	1	7	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 24), 'ingredient': ('./wrap.py', 14)})
2023-10-29 17:21:28,850	[INFO]	1	8	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 9), 'ingredient': ('./wrap.py', 19)})
2023-10-29 17:21:29,404	[INFO]	1	9	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 3)})
2023-10-29 17:21:29,948	[INFO]	1	10	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 22)})
2023-10-29 17:21:30,612	[INFO]	1	11	PARSE_ERROR	None	LineInsertion({'target': ('./wrap.py', 9), 'ingredient': ('./wrap.py', 5), 'direction': 'after'})
2023-10-29 17:21:31,166	[INFO]	1	12	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 13), 'ingredient': ('./wrap.py', 9)})
2023-10-29 17:21:31,728	[INFO]	1	13	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 8), 'ingredient': ('./wrap.py', 7)})
2023-10-29 17:21:32,315	[INFO]	1	14	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 26), 'ingredient': ('./wrap.py', 3)})
2023-10-29 17:21:32,917	[INFO]	1	15	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 21)})
2023-10-29 17:21:33,465	[INFO]	1	16	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 24), 'ingredient': ('./wrap.py', 21)})
2023-10-29 17:21:34,007	[INFO]	1	17	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 15)})
2023-10-29 17:21:34,559	[INFO]	1	18	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 8)})
2023-10-29 17:21:35,108	[INFO]	1	19	SUCCESS	5	LineInsertion({'target': ('./wrap.py', 16), 'ingredient': ('./wrap.py', 3), 'direction': 'after'})
2023-10-29 17:21:35,759	[INFO]	1	20	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 27), 'ingredient': ('./wrap.py', 1)})
2023-10-29 17:21:36,394	[INFO]	1	21	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 5), 'ingredient': ('./wrap.py', 14)})
2023-10-29 17:21:36,938	[INFO]	1	22	SUCCESS	5	LineInsertion({'target': ('./wrap.py', 22), 'ingredient': ('./wrap.py', 12), 'direction': 'after'})
2023-10-29 17:21:37,485	[INFO]	1	23	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 15), 'ingredient': ('./wrap.py', 2)})
2023-10-29 17:21:38,108	[INFO]	1	24	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 11), 'ingredient': ('./wrap.py', 22)})
2023-10-29 17:21:38,785	[INFO]	1	25	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 16), 'ingredient': ('./wrap.py', 27)})
2023-10-29 17:21:39,444	[INFO]	1	26	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 4), 'ingredient': ('./wrap.py', 25)})
2023-10-29 17:21:40,048	[INFO]	1	27	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 10)})
2023-10-29 17:21:40,774	[INFO]	1	28	PARSE_ERROR	None	LineInsertion({'target': ('./wrap.py', 2), 'ingredient': ('./wrap.py', 21), 'direction': 'after'})
2023-10-29 17:21:41,488	[INFO]	1	29	SUCCESS	5	LineInsertion({'target': ('./wrap.py', 2), 'ingredient': ('./wrap.py', 22), 'direction': 'before'})
2023-10-29 17:21:42,282	[INFO]	1	30	PARSE_ERROR	None	LineReplacement({'target': ('./wrap.py', 4), 'ingredient': ('./wrap.py', 15)})
2023-10-29 17:21:42,964	[INFO]	1	31	SUCCESS	5	LineReplacement({'target': ('./wrap.py', 21), 'ingredient': ('./wrap.py', 19)})
2023-10-29 17:21:43,697	[INFO]	1	32	SUCCESS	5	LineDeletion({'target': ('./wrap.py', 19)})
