2023-10-29 00:54:08,227	[INFO]	Path to the temporal program variants: ./.pyggi/tmp_variants\wrap\1698537248
2023-10-29 00:54:08,227	[INFO]	./.pyggi/logs\wrap_1698537248.log
2023-10-29 00:54:08,959	[INFO]	The fitness value of original program: 5.0
2023-10-29 00:54:08,959	[INFO]	Epoch	Iter	Status	Fitness	Patch
2023-10-29 00:54:09,557	[INFO]	1	1	SUCCESS	5	StmtDeletion({'target': ('./wrap.py', 9)})
2023-10-29 00:54:10,146	[INFO]	1	2	SUCCESS	5	StmtInsertion({'target': ('./wrap.py', 6), 'ingredient': ('./wrap.py', 6), 'direction': 'after'})
2023-10-29 00:54:10,733	[INFO]	1	3	SUCCESS	5	StmtReplacement({'target': ('./wrap.py', 6), 'ingredient': ('./wrap.py', 8)})
2023-10-29 00:54:11,310	[INFO]	1	4	SUCCESS	5	StmtReplacement({'target': ('./wrap.py', 0), 'ingredient': ('./wrap.py', 0)})
2023-10-29 00:54:11,890	[INFO]	1	5	SUCCESS	5	StmtReplacement({'target': ('./wrap.py', 8), 'ingredient': ('./wrap.py', 6)})
2023-10-29 00:54:12,523	[INFO]	1	6	SUCCESS	5	StmtReplacement({'target': ('./wrap.py', 5), 'ingredient': ('./wrap.py', 2)})
2023-10-29 00:54:13,106	[INFO]	1	7	SUCCESS	5	StmtDeletion({'target': ('./wrap.py', 4)})
2023-10-29 00:54:13,710	[INFO]	1	8	SUCCESS	5	StmtInsertion({'target': ('./wrap.py', 6), 'ingredient': ('./wrap.py', 6), 'direction': 'before'})
2023-10-29 00:54:14,324	[INFO]	1	9	SUCCESS	5	StmtReplacement({'target': ('./wrap.py', 3), 'ingredient': ('./wrap.py', 0)})
2023-10-29 00:54:14,932	[INFO]	1	10	SUCCESS	5	StmtInsertion({'target': ('./wrap.py', 6), 'ingredient': ('./wrap.py', 1), 'direction': 'after'})
2023-10-29 00:54:15,542	[INFO]	1	11	SUCCESS	5	StmtDeletion({'target': ('./wrap.py', 8)})
2023-10-29 00:54:16,144	[INFO]	1	12	SUCCESS	5	StmtInsertion({'target': ('./wrap.py', 3), 'ingredient': ('./wrap.py', 0), 'direction': 'before'})
2023-10-29 00:54:16,733	[INFO]	1	13	SUCCESS	5	StmtInsertion({'target': ('./wrap.py', 9), 'ingredient': ('./wrap.py', 0), 'direction': 'after'})
2023-10-29 00:54:17,356	[INFO]	1	14	PARSE_ERROR	None	StmtReplacement({'target': ('./wrap.py', 0), 'ingredient': ('./wrap.py', 5)})
2023-10-29 00:54:17,949	[INFO]	1	15	SUCCESS	5	StmtDeletion({'target': ('./wrap.py', 1)})
2023-10-29 00:54:18,531	[INFO]	1	16	SUCCESS	5	StmtInsertion({'target': ('./wrap.py', 0), 'ingredient': ('./wrap.py', 0), 'direction': 'before'})
